OBJECTID,GTFS_Stop_ID,Station_ID,Complex_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,GTFS_Latitude,GTFS_Longitude,North_Direction_Label,South_Direction_Label,Fare_Evasion,Ridership,Evasion_Percentage
92,J27,92,621,BMT,Jamaica,Broadway Junction,Bk,J Z,Elevated,40.679498,-73.904512,Outbound,Manhattan,3,537196,0.000558455
93,J28,93,93,BMT,Jamaica,Chauncey St,Bk,J Z,Elevated,40.682893,-73.910456,Outbound,Manhattan,2,187059,0.001069181
94,J29,94,94,BMT,Jamaica,Halsey St,Bk,J,Elevated,40.68637,-73.916559,Outbound,Manhattan,5,391890,0.001275868
95,J30,95,95,BMT,Jamaica,Gates Av,Bk,J Z,Elevated,40.68963,-73.92227,Outbound,Manhattan,4,429355,0.00093163
96,J31,96,96,BMT,Jamaica,Kosciuszko St,Bk,J,Elevated,40.693342,-73.928814,Outbound,Manhattan,6,376586,0.001593262
97,M11,97,97,BMT,Jamaica,Myrtle Av,Bk,M J Z,Elevated,40.697207,-73.935657,Outbound,Manhattan,36,754203,0.004773251
98,M12,98,98,BMT,Jamaica,Flushing Av,Bk,M J,Elevated,40.70026,-73.941126,Outbound,Manhattan,12,518623,0.002313819
99,M13,99,99,BMT,Jamaica,Lorimer St,Bk,M J,Elevated,40.703869,-73.947408,Outbound,Manhattan,2,277935,0.000719593
100,M14,100,100,BMT,Jamaica,Hewes St,Bk,M J,Elevated,40.70687,-73.953431,Outbound,Manhattan,21,168708,0.012447543
101,M16,101,101,BMT,Jamaica,Marcy Av,Bk,M J Z,Elevated,40.708359,-73.957757,Outbound,Manhattan,16,775623,0.002062858
102,M18,102,625,BMT,Jamaica,Delancey St-Essex St,M,M J Z,Subway,40.718315,-73.987437,Brooklyn,Inbound,32,2037616,0.001570463
103,M19,103,103,BMT,Jamaica,Bowery,M,J Z,Subway,40.72028,-73.993915,Brooklyn,Downtown,10,276761,0.003613226
104,M20,104,623,BMT,Jamaica,Canal St,M,J Z,Subway,40.718092,-73.999892,Brooklyn,Downtown,1,3195443,3.13E-05
105,M21,105,622,BMT,Jamaica,Chambers St,M,J Z,Subway,40.713243,-74.003401,Brooklyn,Downtown,,1590176,
106,M22,106,628,BMT,Jamaica,Fulton St,M,J Z,Subway,40.710374,-74.007582,Brooklyn,Downtown,17,5259603,0.000323218
107,M23,107,107,BMT,Jamaica,Broad St,M,J Z,Subway,40.706476,-74.011056,Brooklyn,Last Stop,2,369994,0.000540549
108,M01,108,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,M,Elevated,40.711396,-73.889601,Inbound,Last Stop,,230506,
109,M04,109,109,BMT,Myrtle Av,Fresh Pond Rd,Q,M,Elevated,40.706186,-73.895877,Inbound,Middle Village,,353250,
110,M05,110,110,BMT,Myrtle Av,Forest Av,Q,M,Elevated,40.704423,-73.903077,Inbound,Middle Village,,274605,
111,M06,111,111,BMT,Myrtle Av,Seneca Av,Q,M,Elevated,40.702762,-73.90774,Inbound,Middle Village,,178999,
112,M08,112,630,BMT,Myrtle Av,Myrtle-Wyckoff Avs,Bk,M,Elevated,40.69943,-73.912385,Inbound,Middle Village,8,1382387,0.000578709
113,M09,113,113,BMT,Myrtle Av,Knickerbocker Av,Bk,M,Elevated,40.698664,-73.919711,Inbound,Middle Village,,259521,
114,M10,114,114,BMT,Myrtle Av,Central Av,Bk,M,Elevated,40.697857,-73.927397,Inbound,Middle Village,,233074,
115,L01,115,618,BMT,Canarsie,8 Av,M,L,Subway,40.739777,-74.002578,Last Stop,Brooklyn,2,3122117,6.41E-05
116,L02,116,601,BMT,Canarsie,6 Av,M,L,Subway,40.737335,-73.996786,West Side,Brooklyn,7,3055458,0.000229098
117,L03,117,602,BMT,Canarsie,14 St-Union Sq,M,L,Subway,40.734789,-73.99073,West Side,Brooklyn,54,6509076,0.000829611
118,L05,118,118,BMT,Canarsie,3 Av,M,L,Subway,40.732849,-73.986122,West Side,Brooklyn,9,487320,0.001846836
119,L06,119,119,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,West Side,Brooklyn,226,1847559,0.012232357
120,L08,120,120,BMT,Canarsie,Bedford Av,Bk,L,Subway,40.717304,-73.956872,Manhattan,Outbound,167,2494000,0.006696071
121,L10,121,629,BMT,Canarsie,Lorimer St,Bk,L,Subway,40.714063,-73.950275,Manhattan,Outbound,72,1172628,0.006140055
122,L11,122,122,BMT,Canarsie,Graham Av,Bk,L,Subway,40.714565,-73.944053,Manhattan,Outbound,2,636451,0.000314243
123,L12,123,123,BMT,Canarsie,Grand St,Bk,L,Subway,40.711926,-73.94067,Manhattan,Outbound,18,415930,0.004327651
124,L13,124,124,BMT,Canarsie,Montrose Av,Bk,L,Subway,40.707739,-73.93985,Manhattan,Outbound,,459140,
125,L14,125,125,BMT,Canarsie,Morgan Av,Bk,L,Subway,40.706152,-73.933147,Manhattan,Outbound,62,533718,0.011616621
126,L15,126,126,BMT,Canarsie,Jefferson St,Bk,L,Subway,40.706607,-73.922913,Manhattan,Outbound,28,624963,0.004480265
127,L16,127,127,BMT,Canarsie,DeKalb Av,Bk,L,Subway,40.703811,-73.918425,Manhattan,Outbound,14,809903,0.001728602
128,L17,128,630,BMT,Canarsie,Myrtle-Wyckoff Avs,Bk,L,Subway,40.699814,-73.911586,Manhattan,Outbound,167,1382387,0.012080553
129,L19,129,129,BMT,Canarsie,Halsey St,Q,L,Subway,40.695602,-73.904084,Manhattan,Outbound,,535119,
130,L20,130,130,BMT,Canarsie,Wilson Av,Bk,L,Subway,40.688764,-73.904046,Manhattan,Outbound,14,287457,0.004870294
131,L21,131,131,BMT,Canarsie,Bushwick Av-Aberdeen St,Bk,L,Subway,40.682829,-73.905249,Manhattan,Outbound,3,147461,0.002034436
132,L22,132,621,BMT,Canarsie,Broadway Junction,Bk,L,Elevated,40.678856,-73.90324,Manhattan,Outbound,3,537196,0.000558455
133,L24,133,133,BMT,Canarsie,Atlantic Av,Bk,L,Elevated,40.675345,-73.903097,Manhattan,Canarsie,5,136945,0.003651101
134,L25,134,134,BMT,Canarsie,Sutter Av,Bk,L,Elevated,40.669367,-73.901975,Manhattan,Canarsie,2,137934,0.001449969
135,L26,135,135,BMT,Canarsie,Livonia Av,Bk,L,Elevated,40.664038,-73.900571,Manhattan,Canarsie,2,149131,0.001341103
136,L27,136,136,BMT,Canarsie,New Lots Av,Bk,L,Elevated,40.658733,-73.899232,Manhattan,Canarsie,7,177956,0.003933556
137,L28,137,137,BMT,Canarsie,East 105 St,Bk,L,At Grade,40.650573,-73.899485,Manhattan,Canarsie,3,146003,0.002054752
138,L29,138,138,BMT,Canarsie,Canarsie-Rockaway Pkwy,Bk,L,At Grade,40.646654,-73.90185,Manhattan,Last Stop,30,741328,0.004046792
139,S01,139,627,BMT,Franklin Shuttle,Franklin Av,Bk,S,Elevated,40.680596,-73.955827,Last Stop,Prospect Park,1,330495,0.000302576
140,S03,141,141,BMT,Franklin Shuttle,Park Pl,Bk,S,Open Cut,40.674772,-73.957624,Franklin Av,Prospect Park,3,102239,0.002934301
141,S04,142,626,BMT,Franklin Shuttle,Botanic Garden,Bk,S,Open Cut,40.670343,-73.959245,Franklin Av,Prospect Park,22,954138,0.002305746
142,A02,143,143,IND,8th Av - Fulton St,Inwood-207 St,M,A,Subway,40.868072,-73.919899,Last Stop,Downtown,14,486359,0.002878532
143,A03,144,144,IND,8th Av - Fulton St,Dyckman St,M,A,Subway,40.865491,-73.927271,Uptown,Downtown,12,380422,0.003154392
144,A05,145,145,IND,8th Av - Fulton St,190 St,M,A,Subway,40.859022,-73.93418,Uptown,Downtown,3,245669,0.001221155
145,A06,146,146,IND,8th Av - Fulton St,181 St,M,A,Subway,40.851695,-73.937969,Uptown,Downtown,2,575670,0.000347421
146,A07,147,147,IND,8th Av - Fulton St,175 St,M,A,Subway,40.847391,-73.939704,Uptown,Downtown,72,609031,0.011822058
147,A09,148,605,IND,8th Av - Fulton St,168 St,M,A C,Subway,40.840719,-73.939561,Uptown,Downtown,65,1331810,0.004880576
148,A10,149,149,IND,8th Av - Fulton St,163 St-Amsterdam Av,M,C,Subway,40.836013,-73.939892,Uptown,Downtown,17,246257,0.006903357
149,A11,150,150,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514,Uptown,Downtown,9,151035,0.005958884
150,A12,151,151,IND,8th Av - Fulton St,145 St,M,A C,Subway,40.824783,-73.944216,Uptown,Downtown,68,1362344,0.004991397
151,D13,151,151,IND,Concourse,145 St,M,B D,Subway,40.824783,-73.944216,Uptown,Downtown,67,1362344,0.004917994
152,A14,152,152,IND,8th Av - Fulton St,135 St,M,C B,Subway,40.817894,-73.947649,Uptown,Downtown,13,332842,0.003905757
153,A15,153,153,IND,8th Av - Fulton St,125 St,M,A C B D,Subway,40.811109,-73.952343,Uptown,Downtown,172,1561958,0.011011819
154,A16,154,154,IND,8th Av - Fulton St,116 St,M,C B,Subway,40.805085,-73.954882,Uptown,Downtown,7,387249,0.001807622
155,A17,155,155,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,C B,Subway,40.800603,-73.958161,Uptown,Downtown,9,465881,0.001931824
156,A18,156,156,IND,8th Av - Fulton St,103 St,M,C B,Subway,40.796092,-73.961454,Uptown,Downtown,4,280159,0.001427761
157,A19,157,157,IND,8th Av - Fulton St,96 St,M,C B,Subway,40.791642,-73.964696,Uptown,Downtown,7,582978,0.001200731
158,A20,158,158,IND,8th Av - Fulton St,86 St,M,C B,Subway,40.785868,-73.968916,Uptown,Downtown,17,700376,0.002427268
159,A21,159,159,IND,8th Av - Fulton St,81 St-Museum of Natural History,M,C B,Subway,40.781433,-73.972143,Uptown,Downtown,2,875039,0.000228561
160,A22,160,160,IND,8th Av - Fulton St,72 St,M,C B,Subway,40.775594,-73.97641,Uptown,Downtown,3,690340,0.000434568
161,A24,161,614,IND,8th Av - Fulton St,59 St-Columbus Circle,M,A C B D,Subway,40.768296,-73.981736,Uptown,Downtown,251,4642895,0.00540611
162,A25,162,162,IND,8th Av - Fulton St,50 St,M,C E,Subway,40.762456,-73.985984,Uptown,Downtown,40,1543515,0.002591488
163,A27,163,611,IND,8th Av - Fulton St,42 St-Port Authority Bus Terminal,M,A C E,Subway,40.757308,-73.989735,Uptown,Downtown,1120,12334083,0.009080529
164,A28,164,164,IND,8th Av - Fulton St,34 St-Penn Station,M,A C E,Subway,40.752287,-73.993391,Uptown,Downtown,126,5374304,0.00234449
165,A30,165,165,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041,Uptown,Downtown,4,1314114,0.000304388
166,A31,166,618,IND,8th Av - Fulton St,14 St,M,A C E,Subway,40.740893,-74.00169,Uptown,Downtown,134,3122117,0.00429196
167,A32,167,167,IND,8th Av - Fulton St,W 4 St-Wash Sq,M,A C E,Subway,40.732338,-74.000495,Uptown,Downtown,45,3175371,0.001417157
168,D20,167,167,IND,6th Av - Culver,W 4 St-Wash Sq,M,B D F M,Subway,40.732338,-74.000495,Uptown,Downtown,44,3175371,0.001385665
169,A33,168,168,IND,8th Av - Fulton St,Spring St,M,C E,Subway,40.726227,-74.003739,Uptown,Downtown,9,1012223,0.000889132
170,A34,169,169,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229,Uptown,Downtown,18,1111750,0.001619069
171,A36,170,624,IND,8th Av - Fulton St,Chambers St,M,A C,Subway,40.714111,-74.008585,Uptown,Brooklyn,59,3630182,0.001625263
172,E01,171,624,IND,8th Av - Fulton St,World Trade Center,M,E,Subway,40.712582,-74.009781,Uptown,Last Stop,,3630182,
173,A38,172,628,IND,8th Av - Fulton St,Fulton St,M,A C,Subway,40.710197,-74.007691,Uptown,Brooklyn,334,5259603,0.006350289
174,A40,173,173,IND,8th Av - Fulton St,High St,Bk,A C,Subway,40.699337,-73.990531,Manhattan,Outbound,11,746466,0.00147361
175,A41,174,636,IND,8th Av - Fulton St,Jay St-MetroTech,Bk,A C F,Subway,40.692338,-73.987342,Manhattan,Outbound,94,2217263,0.004239461
176,A42,175,175,IND,8th Av - Fulton St,Hoyt-Schermerhorn Sts,Bk,A C G,Subway,40.688484,-73.985001,Westbound,Queens,35,812898,0.004305583
177,A43,176,176,IND,8th Av - Fulton St,Lafayette Av,Bk,C,Subway,40.686113,-73.973946,Manhattan,Outbound,7,350529,0.001996982
178,A44,177,177,IND,8th Av - Fulton St,Clinton-Washington Avs,Bk,C,Subway,40.683263,-73.965838,Manhattan,Outbound,22,495673,0.00443841
179,A45,178,627,IND,8th Av - Fulton St,Franklin Av,Bk,C,Subway,40.68138,-73.956848,Manhattan,Outbound,15,330495,0.004538646
180,A46,179,179,IND,8th Av - Fulton St,Nostrand Av,Bk,A C,Subway,40.680438,-73.950426,Manhattan,Outbound,160,1087249,0.01471604
181,A47,180,180,IND,8th Av - Fulton St,Kingston-Throop Avs,Bk,C,Subway,40.679921,-73.940858,Manhattan,Outbound,26,424742,0.006121363
